title,description,link,likes,author,author_username,timestamp,mentions_in_caption,hashtags,scraped_at,views,shares,comments
"Rocky mengatakan Jokowi merupakan sosok yang takut dilupakan sejarah, takut dikenang masa lalunya, bahkan setelah tak lagi menjabat sebagai presiden. Salah satu jalannya dengan membangun kekuasaan melalui anaknya sendiri.",,https://www.tiktok.com/@akbarfaizal_uncensored/video/7528333673129643320,181.0,@akbarfaizal_uncensored,akbarfaizal_uncensored,2025-07-18T00:00:00+00:00,[],[],2025-08-27 02:29:03,,0.0,0.0
"Di tengah santernya kabar Presiden Jokowi akan total mendukung PSI, Maruarar Sirait memilih bersikap tegas: tetap mendukung Prabowo Subianto dan setia di Gerindra.",,https://www.tiktok.com/@akbarfaizal_uncensored/video/7533230338202471736,2463.0,@akbarfaizal_uncensored,akbarfaizal_uncensored,2024-07-31T00:00:00+00:00,[],[],2025-08-22 04:19:48,,0.0,0.0
Membalas,,https://www.tiktok.com/@akunfake.original/video/7343456734293347590,39.0,@akunfake.original,akunfake.original,2024-03-07T00:00:00+00:00,[],[],2025-08-27 02:29:07,,0.0,0.0
,,https://www.tiktok.com/@al.zainzaini86/video/7533626893954829573,0.0,@,,,[],[],2025-08-22 04:19:48,,0.0,0.0
Betulkah rakyat Indonesia sudah merdeka dari penjajah ???,,https://www.tiktok.com/@albahri30_5/video/7539377262810975494,0.0,@albahri30_5,albahri30_5,2025-08-19T03:25:45+00:00,[],[],2025-08-22 04:19:48,,0.0,0.0
POLITIK DINASTI,,https://www.tiktok.com/@alexhunter280/video/7379732832857459973,110.0,@alexhunter280,alexhunter280,2024-06-13T00:00:00+00:00,[],[],2025-08-26 07:41:15,,0.0,0.0
created by Alif P with Alif P’s suara asli - Alif P,created by Alif P with Alif P’s suara asli - Alif P,https://www.tiktok.com/@alif.p129/video/7518704768789925126,5028.0,@alif.p129,alif.p129,2025-06-22T00:00:00+00:00,[],[],2025-08-27 02:29:02,,0.0,0.0
awas jangan golput ya😋 5 menit aja buat tentuin masa depan 5 tahun ke depann!!🥳 masih ada waktu guyss!!,,https://www.tiktok.com/@alleciangeline/video/7335318480503295238,0.0,@alleciangeline,alleciangeline,2024-02-14T00:00:00+00:00,[],[],2025-08-22 04:19:48,,0.0,0.0
,,https://www.tiktok.com/@alyastore23/video/7472057470446325047,0.0,@,,2025-08-22T09:03:10.523511+00:00,[],[],2025-08-22 09:03:10,,0.0,0.0
"💥 ""Barito Utara Bisa Lebih Baik Tanpa Politik Uang dan Politik Dinasti!"" 💥",,https://www.tiktok.com/@amad.sikuy/video/7513640713993620743,181.0,@amad.sikuy,amad.sikuy,2025-06-09T00:00:00+00:00,[],[],2025-08-26 07:41:11,,0.0,0.0
