source,target,relation,tweet_url,timestamp,extracted_at
@kirarachelsea,@puanmaharani_ri,mention,https://x.com/kirarachelsea/status/1960161904921567689,2025-08-26T02:06:30.000Z,8/26/2025 13:47
@triwahyuutama15,@prabowo,mention,https://x.com/triwahyuutama15/status/1959902227298218308,2025-08-25T08:54:38.000Z,8/26/2025 13:48
@narasi_politik,@KPK_RI,mention,https://x.com/narasi_politik/status/1960128597043343822,2025-08-25T23:54:09.000Z,8/26/2025 13:48
@narasi_politik,@OJK_Indonesia,mention,https://x.com/narasi_politik/status/1960128597043343822,2025-08-25T23:54:09.000Z,8/26/2025 13:48
@Official_adit,@DPR_RI,mention,https://x.com/Official_adit/status/1960006418846953710,2025-08-25T15:48:40.000Z,8/26/2025 13:48
@dewmustika82,@prabowo,mention,https://x.com/dewmustika82/status/1959955307750449404,2025-08-25T12:25:34.000Z,8/26/2025 13:48
@Shalihin_Nad_95,@grok,mention,https://x.com/Shalihin_Nad_95/status/1959915364785201554,2025-08-25T09:46:51.000Z,8/26/2025 13:48
@andayani_lolita,@DPR_RI,mention,https://x.com/andayani_lolita/status/1959906712959492424,2025-08-25T09:12:28.000Z,8/26/2025 13:48
@wannafigh,@SoeTjenMarching,mention,https://x.com/wannafigh/status/1959837786397425979,2025-08-25T04:38:34.000Z,8/26/2025 13:48
@gilang_ahm31272,@jokowi,mention,https://x.com/gilang_ahm31272/status/1959833453639381414,2025-08-25T04:21:21.000Z,8/26/2025 13:48
@oraisokon,@univ_indonesia,mention,https://x.com/oraisokon/status/1959665359176540631,2025-08-24T17:13:25.000Z,8/26/2025 13:48
@OjolTxt,@jokowi,mention,https://x.com/OjolTxt/status/1959627197209313701,2025-08-24T14:41:46.000Z,8/26/2025 13:48
@KAMID82650678,@prabowo,mention,https://x.com/KAMID82650678/status/1959601723947008511,2025-08-24T13:00:33.000Z,8/26/2025 13:48
@KAMID82650678,@UN,mention,https://x.com/KAMID82650678/status/1959601723947008511,2025-08-24T13:00:33.000Z,8/26/2025 13:48
@KAMID82650678,@ICC,mention,https://x.com/KAMID82650678/status/1959601723947008511,2025-08-24T13:00:33.000Z,8/26/2025 13:48
@KAMID82650678,@OCCRP,mention,https://x.com/KAMID82650678/status/1959601723947008511,2025-08-24T13:00:33.000Z,8/26/2025 13:48
@Batigoltaeng,@prabowo,mention,https://x.com/Batigoltaeng/status/1959584259825656005,2025-08-24T11:51:09.000Z,8/26/2025 13:48
@derarang,@DPR_RI,mention,https://x.com/derarang/status/1959565706493587718,2025-08-24T10:37:26.000Z,8/26/2025 13:48
@PolitikBRIN,@firmannoor8,mention,https://x.com/PolitikBRIN/status/1960524195546222975,2025-08-27T02:06:07.000Z,8/27/2025 9:21
@PolitikBRIN,@PolitikBRIN,self_mention,https://x.com/PolitikBRIN/status/1960524195546222975,2025-08-27T02:06:07.000Z,8/27/2025 9:21
@Joyyc__,#jokitugas,hashtag_use,https://x.com/Joyyc__/status/1960516589771722914,2025-08-27T01:35:54.000Z,8/27/2025 9:21
@Joyyc__,#jokitugaskuliah,hashtag_use,https://x.com/Joyyc__/status/1960516589771722914,2025-08-27T01:35:54.000Z,8/27/2025 9:21
@joyyc__3,#jokitugas,hashtag_use,https://x.com/joyyc__3/status/1960516034215264421,2025-08-27T01:33:41.000Z,8/27/2025 9:21
@MasheriJayapura,#PKSPapua,hashtag_use,https://x.com/MasheriJayapura/status/1960439366477865161,2025-08-26T20:29:02.000Z,8/27/2025 9:21
@MasheriJayapura,#MuswilVI,hashtag_use,https://x.com/MasheriJayapura/status/1960439366477865161,2025-08-26T20:29:02.000Z,8/27/2025 9:21
@MasheriJayapura,#BersamaMelayaniRakyat,hashtag_use,https://x.com/MasheriJayapura/status/1960439366477865161,2025-08-26T20:29:02.000Z,8/27/2025 9:21
@joyyc__3,#jokitugas,hashtag_use,https://x.com/joyyc__3/status/1960416580317405395,2025-08-26T18:58:30.000Z,8/27/2025 9:21
@joyyc__3,#jokitugaskuliah,hashtag_use,https://x.com/joyyc__3/status/1960416580317405395,2025-08-26T18:58:30.000Z,8/27/2025 9:21
@Joyyc__,#jokitugas,hashtag_use,https://x.com/Joyyc__/status/1960416399542903217,2025-08-26T18:57:47.000Z,8/27/2025 9:21
@joyyc__3,#jokitugas,hashtag_use,https://x.com/joyyc__3/status/1960341468083855458,2025-08-26T14:00:02.000Z,8/27/2025 9:21
@Joyyc__,#jokitugas,hashtag_use,https://x.com/Joyyc__/status/1960341282804711697,2025-08-26T13:59:17.000Z,8/27/2025 9:21
@Joyyc__,#jokitugaskuliah,hashtag_use,https://x.com/Joyyc__/status/1960341282804711697,2025-08-26T13:59:17.000Z,8/27/2025 9:21
@KitaKawanKakak,@prabowo,mention,https://x.com/KitaKawanKakak/status/1960329189317570814,2025-08-26T13:11:14.000Z,8/27/2025 9:21
@bellpods_,#Politik,hashtag_use,https://x.com/bellpods_/status/1960296564993486962,2025-08-26T11:01:36.000Z,8/27/2025 9:22
@bellpods_,#Menteri,hashtag_use,https://x.com/bellpods_/status/1960296564993486962,2025-08-26T11:01:36.000Z,8/27/2025 9:22
@bellpods_,#Indonesia,hashtag_use,https://x.com/bellpods_/status/1960296564993486962,2025-08-26T11:01:36.000Z,8/27/2025 9:22
@bellpods_,#VideoMenarik,hashtag_use,https://x.com/bellpods_/status/1960296564993486962,2025-08-26T11:01:36.000Z,8/27/2025 9:22
@tempodotco,#TempoPlus,hashtag_use,https://x.com/tempodotco/status/1960269738434846765,2025-08-26T09:15:00.000Z,8/27/2025 9:22
@YohSudarman,@univ_indonesia,mention,https://x.com/YohSudarman/status/1960260174129541327,2025-08-26T08:37:00.000Z,8/27/2025 9:22
@YohSudarman,@TimesofIsrael,mention,https://x.com/YohSudarman/status/1960260174129541327,2025-08-26T08:37:00.000Z,8/27/2025 9:22
@YohSudarman,#AmYisraelChai,hashtag_use,https://x.com/YohSudarman/status/1960260174129541327,2025-08-26T08:37:00.000Z,8/27/2025 9:22
@bawaslukottegal,#SahabatBawaslu,hashtag_use,https://x.com/bawaslukottegal/status/1960260006428676342,2025-08-26T08:36:20.000Z,8/27/2025 9:22
@radar_mojokerto,#bupatimojokerto,hashtag_use,https://x.com/radar_mojokerto/status/1960249978619887919,2025-08-26T07:56:29.000Z,8/27/2025 9:22
@radar_mojokerto,#apbdes,hashtag_use,https://x.com/radar_mojokerto/status/1960249978619887919,2025-08-26T07:56:29.000Z,8/27/2025 9:22
@radar_mojokerto,#BKDESA,hashtag_use,https://x.com/radar_mojokerto/status/1960249978619887919,2025-08-26T07:56:29.000Z,8/27/2025 9:22
@Joyyc__,#jokitugas,hashtag_use,https://x.com/Joyyc__/status/1960248710333374469,2025-08-26T07:51:26.000Z,8/27/2025 9:22
@joyyc__3,#jokitugas,hashtag_use,https://x.com/joyyc__3/status/1960248417457692986,2025-08-26T07:50:17.000Z,8/27/2025 9:22
@joyyc__3,#jokitugaskuliah,hashtag_use,https://x.com/joyyc__3/status/1960248417457692986,2025-08-26T07:50:17.000Z,8/27/2025 9:22
@joyyc__3,#jokitugas,hashtag_use,https://x.com/joyyc__3/status/1960219255808446747,2025-08-26T05:54:24.000Z,8/27/2025 9:22
@Joyyc__,#jokitugas,hashtag_use,https://x.com/Joyyc__/status/1960219061477839206,2025-08-26T05:53:38.000Z,8/27/2025 9:22
@Joyyc__,#jokitugaskuliah,hashtag_use,https://x.com/Joyyc__/status/1960219061477839206,2025-08-26T05:53:38.000Z,8/27/2025 9:22
